h,w,time,iterations
7,2,11.0362,70909
7,2,4.96527,31882
7,2,0.168456,1075
7,2,2.11087,13422
7,2,2.54939,16438
7,2,5.56079,35636
7,2,6.08837,39171
7,2,0.301081,1928
7,2,0.023646,153
7,2,1.98208,12579
7,2,0.0556962,362
7,2,5.10946,32601
7,2,3.32203,21391
7,2,4.36119,27860
7,2,1.83843,11849
7,2,7.52831,48044
7,2,2.48256,15909
7,2,9.91623,63441
7,2,7.42033,47386
7,2,2.92395,18651
7,2,0.181722,1189
7,2,0.131841,845
7,2,9.16526,58544
7,2,9.83745,62879
7,2,3.6875,23625
7,2,2.48022,15789
7,2,2.1561,13951
7,2,6.27515,40491
7,2,9.87255,62729
7,2,2.32684,14956
7,2,0.476294,3062
7,2,3.42952,22099
7,2,0.944602,6165
7,2,0.232312,1488
7,2,0.230315,1475
7,2,1.45474,9338
7,2,4.76583,30603
7,2,2.51727,16070
7,2,1.97964,12830
7,3,2.86787,17869
7,3,0.38596,2401
7,3,16.2791,100928
7,3,6.86084,42827
7,3,7.67737,47917
7,3,6.8623,42936
7,3,17.5677,109547
7,3,4.15811,25948
7,3,4.58918,28587
7,3,1.24969,7866
7,3,3.24094,20207
7,3,4.53959,28305
7,3,6.49086,40593
7,3,0.0612407,377
7,3,3.53658,22012
7,3,14.7039,91401
7,3,4.49079,27975
7,3,7.83105,48718
7,3,4.73831,29255
7,3,4.45981,27788
7,3,8.58279,53411
7,3,4.42154,27294
7,3,4.66883,29101
7,3,0.549716,3499
7,3,0.13458,840
7,3,3.40467,21393
7,3,9.61702,60322
7,3,6.66948,41731
7,3,2.20392,13705
7,3,2.76261,17245
7,3,6.83015,42703
7,3,4.95119,30862
7,3,6.15661,38317
7,3,12.5491,78288
7,3,2.89226,17860
7,3,6.75311,41806
7,3,3.26422,20328
7,3,5.49134,34161
7,3,0.728255,4559
7,3,4.32631,26962
7,3,5.62889,34897
7,3,9.51303,59344
7,3,6.77703,42303
7,3,0.548608,3481
7,3,4.9786,30858
7,3,0.0108646,65
7,3,13.7624,85356
7,3,1.42052,8866
7,3,0.370054,2317
7,3,0.32623,2060
7,4,7.81939,46856
7,4,8.1865,49579
7,4,5.07076,30417
7,4,5.21171,31676
7,4,8.78391,53056
7,4,25.6332,154866
7,4,7.91209,47785
7,4,7.38589,44648
7,4,3.07167,18613
7,4,4.53707,27032
7,4,9.25075,55866
7,4,11.026,66516
7,4,6.20387,37412
7,4,13.6485,82065
7,4,1.2518,7510
7,4,11.4216,68984
7,4,2.6149,15650
7,4,7.76827,46861
7,4,3.38816,20385
7,4,6.55337,39466
7,4,2.2588,13675
7,4,0.213646,1285
7,4,4.07558,24502
7,4,6.73591,40810
7,4,4.72121,28391
7,4,10.993,66368
7,4,3.50294,21224
7,4,6.2767,37776
7,4,1.92731,11589
7,4,14.345,86480
7,4,7.77198,46820
7,4,7.09351,42565
7,4,0.928614,5648
7,4,8.00166,48344
7,4,12.4014,75024
7,4,1.7329,10653
7,4,10.8002,65226
7,4,3.3896,20394
7,4,4.09571,24583
7,4,10.5033,63798
7,4,11.0581,67171
7,4,2.43856,14787
7,4,0.36813,2274
7,4,6.452,39015
7,4,5.34251,32364
7,4,10.3243,62773
7,4,6.07112,36758
7,4,14.4111,86930
7,4,7.102,42539
7,4,6.66371,40393
7,5,6.96248,40700
7,5,10.5317,61515
7,5,12.0375,69525
7,5,6.57154,37838
7,5,7.5017,43438
7,5,1.06948,6287
7,5,4.33121,25490
7,5,9.8433,57300
7,5,14.9715,86373
7,5,4.59932,26712
7,5,9.4176,53845
7,5,7.93203,45627
7,5,8.66246,50504
