type,cpu,time,iterations
0,12,0.0735157,123
1,12,1.9471,5780
0,12,6.32009,18056
1,12,109.838,302260
0,12,1.148,3268
1,12,0.283472,0
0,16,0.677853,1206
1,16,4.45234,11417
0,16,0.749661,1748
1,16,6.72755,16544
0,16,6.11134,14894
1,16,1.28307,3267
0,16,2.29754,5696
1,16,8.14904,20026
0,16,0.222167,0
1,16,9.56252,23637
0,24,2.64255,4444
1,24,5.56106,9783
0,24,1.38405,2097
1,24,2.72109,4750
0,24,0.684994,1198
1,24,1.6583,2908
0,24,1.46785,2504
1,24,8.99314,15714
0,24,0.751722,1014
1,24,3.31191,5810
0,32,10.7529,13542
1,32,3.23445,4176
0,32,2.85287,3766
1,32,2.40576,3241
0,32,6.18651,7959
1,32,0.805498,197
0,32,25.3808,33264
1,32,2.1869,2788
0,32,3.98161,5194
1,32,0.718271,352
0,0,34.8983,437440
1,0,15.0732,194324
0,0,0.101796,1000
1,0,124.941,1589479
0,0,34.7209,432134
1,0,12.8955,170043
0,0,0.039062,252
1,0,5.76976,80516
0,0,5.42009,67271
1,0,1.69886,21283
0,1,27.7315,218719
1,1,232.047,1842324
0,1,45.0779,347276
1,1,50.0692,399391
0,1,5.25441,41473
1,1,15.1284,123844
0,1,0.0226513,156
1,1,10.1649,83764
0,1,-516.079,3941214
1,1,8.45279,65540
0,2,8.25424,62560
1,2,0.641025,4718
0,2,4.3127,34890
1,2,41.6645,314495
0,2,11.6268,85787
1,2,9.73342,74549
0,2,0.0821592,344
1,2,29.0074,222260
0,2,3.90331,29262
1,2,14.8147,116761
0,4,0.185364,1000
1,4,5.82452,36602
0,4,0.560686,3642
1,4,0.0257878,101
0,4,0.341803,2000
1,4,146.679,984176
0,4,0.113431,253
1,4,0.715133,4728
0,4,1.58164,10821
1,4,32.3681,202136
0,6,0.492237,2635
1,6,0.786021,3660
0,6,0.109643,0
1,6,0.0553171,0
0,6,18.6562,64745
1,6,0.468249,1130
0,6,7.17996,22707
1,6,0.973338,3568
0,6,0.291437,1000
1,6,19.6534,94858
0,8,0.859256,2000
1,8,1.39242,3340
0,8,6.39974,15640
1,8,6.70646,17572
0,8,8.40346,22426
1,8,1.29912,3525
0,8,0.829977,1563
1,8,2.41999,6575
0,8,1.67195,4765
1,8,2.47604,6565
0,12,0.296832,855
1,12,1.5449,3869
0,12,17.8215,48329
1,12,2.67311,7618
0,12,17.1741,46356
1,12,6.13739,17515
0,12,9.25606,25642
1,12,3.83368,11573
0,12,6.04908,17091
1,12,0.300946,487
0,16,5.18376,12192
1,16,1.42973,3695
0,16,0.928386,2153
1,16,5.10141,12889
0,16,6.67772,16309
1,16,1.42381,3526
0,16,0.0300586,70
1,16,1.21429,2809
0,16,5.15712,12625
1,16,0.176414,0
0,24,0.187074,319
1,24,3.9534,6823
0,24,2.92427,4917
1,24,0.473112,59
0,24,0.818223,1395
1,24,2.94591,4658
0,24,0.596556,1001
1,24,4.78309,8344
0,24,2.72778,4629
1,24,0.820723,1444
0,32,0.737975,1008
1,32,5.5902,7478
0,32,2.50445,3054
1,32,2.59723,3461
0,32,3.40624,4446
1,32,10.118,13497
0,32,0.816113,925
1,32,4.1551,5416
0,32,3.43346,4501
1,32,1.63644,1290
0,0,0.297662,3974
1,0,45.604,598186
0,0,31.4124,406238
1,0,18.9581,231714
0,0,12.5603,169634
1,0,16.016,209680
0,0,9.53793,124658
1,0,18.7261,243886
0,0,30.7435,376668
1,0,4.78473,62234
0,1,85.0312,659391
